long_name	short_name	bxd_id	batch	off_epoch	type	gen_inbreeding	gen_breeding	note	cross_type
4512-JFI-0441_BXD181	BXD181_0441	BXD181	6_rww	epoch_5	G9_RI	25	34	NA	AI
4512-JFI-0434_BXD183	BXD183_0434	BXD183	6_rww	epoch_5	G9_RI	24	33	NA	AI
4512-JFI-0452_BXD184	BXD184_0452	BXD184	6_rww	epoch_5	G9_RI	22	31	NA	AI
4512-JFI-0416_BXD186	BXD186_0416	BXD186	6_rww	epoch_5	G9_RI	25	34	NA	AI
4512-JFI-0425_BXD187	BXD187_0425	BXD187	7_rww	epoch_6	F2_RI	17	17	NA	RI
4512-JFI-0412_BXD190	BXD190_0412	BXD190	7_rww	epoch_6	F2_RI	18	18	NA	RI
4512-JFI-0398_BXD191	BXD191_0398	BXD191	7_rww	epoch_6	F2_RI	17	17	NA	RI
4512-JFI-0485_BXD194	BXD194_0485	BXD194	7_rww	epoch_6	F2_RI	17	17	NA	RI
4512-JFI-0409_BXD195	BXD195_0409	BXD195	7_rww	epoch_6	F2_RI	19	19	NA	RI
4512-JFI-0366_BXD196	BXD196_0366	BXD196	7_rww	epoch_6	F2_RI	16	16	NA	RI
4512-JFI-0479_BXD197	BXD197_0479	BXD197	7_rww	epoch_6	F2_RI	18	18	NA	RI
4512-JFI-0422_BXD198	BXD198_0422	BXD198	7_rww	epoch_6	F2_RI	15	15	NA	RI
4512-JFI-0354_BXD199	BXD199_0354	BXD199	7_rww	epoch_6	F2_RI	18	18	NA	RI
4512-JFI-0351_BXD201	BXD201_0351	BXD201	7_rww	epoch_6	F2_RI	10	22	NA	RI
4512-JFI-0343_BXD202	BXD202_0343	BXD202	7_rww	epoch_6	F2_RI	15	15	NA	RI
4512-JFI-0480_BXD204	BXD204_0480	BXD204	7_rww	epoch_6	F2_RI	15	15	NA	RI
4512-JFI-0370_BXD205	BXD205_0370	BXD205	7_rww	epoch_6	F2_RI	15	15	NA	RI
